,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students
Washington High,974.0,Washington High School,public,9-12,1032.0,3.0,4.0,Fresno,CA,1212.0,Washington Unified School District,601415.0,"6041 South Elm Avenue, 
Fresno, CA  93706",(559) 485-8805,(559) 485-4435,www.wuhs.washingtonunified.org,60141506864.0,36.648148,-119.79091000000001,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,4.0,,4.0,,4.0,,18,262,89,100,83337,4,4,7,57,240,55,218,13,240,13,218,26,26,97,97,85
Leadership Public Schools - Hayward,24625.0,Leadership Public Schools - Hayward,charter,9-12,533.0,9.0,5.0,Hayward,CA,9.0,Hayward Unified School District,616740.0,"28000 Calaroga Avenue, 
Hayward, CA  94545",(510) 300-1340,(510) 372-0396,www.leadps.org/hayward.html,61674010737.0,37.624190000000006,-122.0879,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral,8.0,9.0,,10.0,,9.0,,22,188,75,96,62587,9,9,10,78,140,75,101,49,141,44,102,95,94,99,100,60
Silver Oak High Public Montessori Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayward High,121.0,Hayward High School,public,9-12,1580.0,4.0,3.0,Hayward,CA,9.0,Hayward Unified School District,616740.0,"1633 East Avenue, 
Hayward, CA  94541",(510) 723-3170,(510) 581-3145,http://www.haywardhigh.net/,61674002116.0,37.672676,-122.06992,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,4.0,,4.0,,20,257,90,99,81614,5,4,6,52,349,48,228,23,345,20,224,45,42,86,84,75
Mt. Eden High,127.0,Mount Eden High School,public,9-12,2009.0,6.0,3.0,Hayward,CA,9.0,Hayward Unified School District,616740.0,"2300 Panama Street, 
Hayward, CA  94545",(510) 723-3180,(510) 786-2269,,61674002124.0,37.625313,-122.09056000000001,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,7.0,,4.0,,6.0,,23,319,94,100,84223,7,6,8,58,437,53,253,34,406,29,238,50,46,92,91,69
Tennyson High,137.0,Tennyson High School,public,9-12,1294.0,2.0,3.0,Hayward,CA,9.0,Hayward Unified School District,616740.0,"27035 Whitman Road, 
Hayward, CA  94544",(510) 723-3190,(510) 582-0964,,61674002135.0,37.642548,-122.06596,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,2.0,,2.0,,2.0,,19,213,87,100,83453,2,2,2,31,318,28,224,11,340,12,239,40,40,75,76,83
Granada High,148.0,Granada High School,public,9-12,2059.0,8.0,4.0,Livermore,CA,10.0,Livermore Valley Joint Unified School District,622110.0,"400 Wall Street, 
Livermore, CA  94550",(925) 606-4800,(925) 606-4808,www.granadahs.schoolloop.com/,62211002626.0,37.675205,-121.78983999999998,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,4.0,,4.0,,23,606,87,99,74463,8,4,9,67,528,42,98,52,527,18,98,49,29,99,95,15
Livermore High,151.0,Livermore High School,public,9-12,1794.0,8.0,4.0,Livermore,CA,10.0,Livermore Valley Joint Unified School District,622110.0,"600 Maple Street, 
Livermore, CA  94550",(925) 606-4812,(925) 606-4851,www.livermorehs.schoolloop.com/,62211002630.0,37.680527000000005,-121.76173,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,4.0,,4.0,,22,528,89,99,75724,8,4,9,65,408,42,104,48,413,26,106,55,32,96,94,20
Newark Memorial High,180.0,Newark Memorial High School,public,9-12,1767.0,6.0,3.0,Newark,CA,13.0,Newark Unified School District,627060.0,"39375 Cedar Boulevard, 
Newark, CA  94560",(510) 818-4300,(510) 794-2120,www.newarkunified.org,62706004085.0,37.522095,-122.00175,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,5.0,,2.0,,3.0,,24,444,87,93,105027,5,3,6,52,402,42,182,22,398,14,180,36,25,91,89,42
James Logan High,170.0,James Logan high school,public,9-12,3900.0,7.0,4.0,Union City,CA,12.0,New Haven Unified School District,626910.0,"1800 H Street, 
Union City, CA  94587",(510) 471-2520,(510) 471-0514,http://www.jameslogan.org/,62691004072.0,37.592495,-122.02604,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,8.0,,7.0,,7.0,,25,353,95,98,69257,8,7,9,74,810,67,400,41,806,32,398,48,39,91,88,41
Oakland Unity High,12385.0,Oakland Unity High School,charter,9-12,337.0,5.0,4.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"6038 Brann Street, 
Oakland, CA  94605",(510) 635-7170,(510) 635-3830,www.unityhigh.org,62805011351.0,37.773705,-122.18548,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,7.0,,7.0,,7.0,,22,285,77,84,51848,7,7,7,63,80,61,72,,,,,96,96,89,90,77
MetWest High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Community Charter High,14112.0,Lighthouse Community Charter High School,charter,9-12,214.0,6.0,4.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"444 Hegenberger Road, 
Oakland, CA  94621",(510) 562-8225,(510) 562-8803,www.lighthousecharter.org,62805010726.0,37.73705,-122.19663,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,7.0,,7.0,,21,,64,90,51656,7,7,7,60,65,63,56,,,,,100,100,75,77,80
McClymonds High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Indian Public High,16974.0,American Indian Public High School,charter,9-12,229.0,7.0,3.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"746 Grand Ave., 
Oakland, CA  94607",(510) 893-8701,(510) 482-6002,www.aimschools.org,62805011563.0,37.811176,-122.25104499999999,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,7.0,,4.0,,7.0,,13,,0,72,30963,7,7,6,54,65,55,31,43,65,45,31,96,96,77,84,85
Oakland Charter High,17494.0,Oakland Charter High School,charter,9-12,475.0,9.0,3.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"2433 Coolidge Avenue, 
Oakland, CA  94601",(510) 436-0101,(510) 893-8705,http://amps-ca.schoolloop.com/,62805012041.0,37.785854,-122.21961,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,10.0,,10.0,,10.0,,22,265,0,100,36643,10,10,10,83,109,84,98,60,109,57,98,90,89,89,88,83
ARISE High,17573.0,Arise High School,charter,9-12,263.0,4.0,3.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"3301 East 12th Street, Suite 205, 
Oakland, CA  94601",(510) 436-5487,(510) 436-5493,www.arisehighschool.org,62805012040.0,37.77616,-122.22506000000001,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,6.0,,5.0,,5.0,,17,246,51,92,41711,6,5,6,66,65,65,60,17,64,15,59,100,100,86,88,94
Civicorps Corpsmember Academy,17431.0,Civicorps Corpsmember Academy,charter,9-12,80.0,,,Oakland,CA,14.0,Oakland Unified School District,628050.0,"101 Myrtle Street, 
Oakland, CA  94607",(510) 992-7800,(510) 992-7950,www.cvcorps.org,62805012056.0,37.798770000000005,-122.28551999999999,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,,14,71,0,100,44000,5,5,5,,,,,,,,,,,5,5,
Castlemont High,25806.0,Castlemont High,public,9-12,564.0,1.0,,Oakland,CA,14.0,Oakland Unified School District,628050.0,"8601 Macarthur Boulevard, 
Oakland, CA  94605",(510) 639-1466,,,62805012992.0,37.759537,-122.16291000000001,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral,1.0,1.0,,1.0,,1.0,,13,278,58,84,40306,1,1,1,2,90,2,87,,,,,36,37,65,65,81
Fremont High,5497.0,Fremont High School,public,9-12,1965.0,7.0,4.0,Sunnyvale,CA,635.0,Fremont Union High School District,614430.0,"1279 Sunnyvale-Saratoga Road, 
Sunnyvale, CA  94087",(408) 522-2400,(408) 522-2468,,61443001696.0,37.35253,-122.03249,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,8.0,,3.0,,4.0,,20,436,91,98,88911,8,4,9,61,456,40,186,48,462,26,187,53,38,87,81,35
LPS Oakland R & D Campus,26959.0,LPS Oakland R&D,charter,9-12,337.0,4.0,,Oakland,CA,14.0,Oakland Unified School District,628050.0,"8601 Macarthur Boulevard, Building 100, 
Oakland, CA  94605",(510) 633-0750,,www.leadps.org,62805013155.0,37.759537,-122.16291000000001,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,3.0,,3.0,,18,305,60,100,40485,3,3,3,47,104,47,101,,,,,100,100,84,84,93
Conservatory of Vocal/Instrumental Arts High,32014.0,Conservatory Of Vocal/Instrumental Arts High,charter,9-12,100.0,,,Oakland,CA,14.0,Oakland Unified School District,628050.0,"12500 Campus Drive, 
Oakland, CA  94619",(510) 328-1119,,www.covahigh.org,62805013888.0,37.789555,-122.16561000000002,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral,,7.0,,,,,,,,,,,100,100,100,,,,,,,,,,,100,100,
Oakland High,247.0,Oakland High School,public,9-12,1583.0,3.0,3.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"1023 Macarthur Boulevard, 
Oakland, CA  94610",(510) 874-3676,(510) 879-3049,http://www.ousd.org/oaklandhigh,62805004304.0,37.80529,-122.23652,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,3.0,,2.0,,3.0,,20,525,82,88,53556,3,3,5,38,322,37,284,17,318,16,280,50,49,72,73,88
