,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities
Mission San Jose High,94,Mission San Jose High School,public,9-12,2069,10,4,Fremont,CA,8,Fremont Unified School District,0614400,"41717 Palm Avenue, 
Fremont, CA  94539",(510) 657-3600,(510) 657-2302,http://www.msjhs.org/home.html,061440001678,37.54504,-121.93193,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral,10,10,,,,10,
Washington High,974,Washington High School,public,9-12,1032,3,4,Fresno,CA,1212,Washington Unified School District,0601415,"6041 South Elm Avenue, 
Fresno, CA  93706",(559) 485-8805,(559) 485-4435,www.wuhs.washingtonunified.org,060141506864,36.648148,-119.79091,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral,2,4,,4,,4,
Leadership Public Schools - Hayward,24625,Leadership Public Schools - Hayward,charter,9-12,533,9,5,Hayward,CA,9,Hayward Unified School District,0616740,"28000 Calaroga Avenue, 
Hayward, CA  94545",(510) 300-1340,(510) 372-0396,www.leadps.org/hayward.html,061674010737,37.62419,-122.0879,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral,8,9,,10,,9,
Silver Oak High Public Montessori Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayward High,121,Hayward High School,public,9-12,1580,4,3,Hayward,CA,9,Hayward Unified School District,0616740,"1633 East Avenue, 
Hayward, CA  94541",(510) 723-3170,(510) 581-3145,http://www.haywardhigh.net/,061674002116,37.672676,-122.06992,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral,4,5,,4,,4,
Mt. Eden High,127,Mount Eden High School,public,9-12,2009,6,3,Hayward,CA,9,Hayward Unified School District,0616740,"2300 Panama Street, 
Hayward, CA  94545",(510) 723-3180,(510) 786-2269,,061674002124,37.625313,-122.09056,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral,6,7,,4,,6,
Tennyson High,137,Tennyson High School,public,9-12,1294,2,3,Hayward,CA,9,Hayward Unified School District,0616740,"27035 Whitman Road, 
Hayward, CA  94544",(510) 723-3190,(510) 582-0964,,061674002135,37.642548,-122.06596,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral,1,2,,2,,2,
Granada High,148,Granada High School,public,9-12,2059,8,4,Livermore,CA,10,Livermore Valley Joint Unified School District,0622110,"400 Wall Street, 
Livermore, CA  94550",(925) 606-4800,(925) 606-4808,www.granadahs.schoolloop.com/,062211002626,37.675205,-121.78984,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral,10,8,,4,,4,
Livermore High,151,Livermore High School,public,9-12,1794,8,4,Livermore,CA,10,Livermore Valley Joint Unified School District,0622110,"600 Maple Street, 
Livermore, CA  94550",(925) 606-4812,(925) 606-4851,www.livermorehs.schoolloop.com/,062211002630,37.680527,-121.76173,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral,9,8,,4,,4,
Newark Memorial High,180,Newark Memorial High School,public,9-12,1767,6,3,Newark,CA,13,Newark Unified School District,0627060,"39375 Cedar Boulevard, 
Newark, CA  94560",(510) 818-4300,(510) 794-2120,www.newarkunified.org,062706004085,37.522095,-122.00175,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral,6,5,,2,,3,
James Logan High,170,James Logan high school,public,9-12,3900,7,4,Union City,CA,12,New Haven Unified School District,0626910,"1800 H Street, 
Union City, CA  94587",(510) 471-2520,(510) 471-0514,http://www.jameslogan.org/,062691004072,37.592495,-122.02604,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral,7,8,,7,,7,
Oakland Unity High,12385,Oakland Unity High School,charter,9-12,337,5,4,Oakland,CA,14,Oakland Unified School District,0628050,"6038 Brann Street, 
Oakland, CA  94605",(510) 635-7170,(510) 635-3830,www.unityhigh.org,062805011351,37.773705,-122.18548,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral,3,7,,7,,7,
MetWest High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Community Charter High,14112,Lighthouse Community Charter High School,charter,9-12,214,6,4,Oakland,CA,14,Oakland Unified School District,0628050,"444 Hegenberger Road, 
Oakland, CA  94621",(510) 562-8225,(510) 562-8803,www.lighthousecharter.org,062805010726,37.73705,-122.19663,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,5,7,,7,,7,
McClymonds High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Indian Public High,16974,American Indian Public High School,charter,9-12,229,7,3,Oakland,CA,14,Oakland Unified School District,0628050,"746 Grand Ave., 
Oakland, CA  94607",(510) 893-8701,(510) 482-6002,www.aimschools.org,062805011563,37.811176,-122.251045,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral,7,7,,4,,7,
Oakland Charter High,17494,Oakland Charter High School,charter,9-12,475,9,3,Oakland,CA,14,Oakland Unified School District,0628050,"2433 Coolidge Avenue, 
Oakland, CA  94601",(510) 436-0101,(510) 893-8705,http://amps-ca.schoolloop.com/,062805012041,37.785854,-122.21961,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,8,10,,10,,10,
ARISE High,17573,Arise High School,charter,9-12,263,4,3,Oakland,CA,14,Oakland Unified School District,0628050,"3301 East 12th Street, Suite 205, 
Oakland, CA  94601",(510) 436-5487,(510) 436-5493,www.arisehighschool.org,062805012040,37.77616,-122.22506,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral,1,6,,5,,5,
Civicorps Corpsmember Academy,17431,Civicorps Corpsmember Academy,charter,9-12,80,,,Oakland,CA,14,Oakland Unified School District,0628050,"101 Myrtle Street, 
Oakland, CA  94607",(510) 992-7800,(510) 992-7950,www.cvcorps.org,062805012056,37.79877,-122.28552,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Castlemont High,25806,Castlemont High,public,9-12,564,1,,Oakland,CA,14,Oakland Unified School District,0628050,"8601 Macarthur Boulevard, 
Oakland, CA  94605",(510) 639-1466,,,062805012992,37.759537,-122.16291,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral,1,1,,1,,1,
Fremont High,5497,Fremont High School,public,9-12,1965,7,4,Sunnyvale,CA,635,Fremont Union High School District,0614430,"1279 Sunnyvale-Saratoga Road, 
Sunnyvale, CA  94087",(408) 522-2400,(408) 522-2468,,061443001696,37.35253,-122.03249,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sunnyvale/5497-Fremont-High-School/?utm_source=GSAPI&utm_medium=referral,8,8,,3,,4,
LPS Oakland R & D Campus,26959,LPS Oakland R&D,charter,9-12,337,4,,Oakland,CA,14,Oakland Unified School District,0628050,"8601 Macarthur Boulevard, Building 100, 
Oakland, CA  94605",(510) 633-0750,,www.leadps.org,062805013155,37.759537,-122.16291,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/26959-LPS-Oakland-R&D/?utm_source=GSAPI&utm_medium=referral,2,3,,3,,3,
Conservatory of Vocal/Instrumental Arts High,32014,Conservatory Of Vocal/Instrumental Arts High,charter,9-12,100,,,Oakland,CA,14,Oakland Unified School District,0628050,"12500 Campus Drive, 
Oakland, CA  94619",(510) 328-1119,,www.covahigh.org,062805013888,37.789555,-122.16561,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/32014-Conservatory-Of-Vocal-Instrumental-Arts-High/?utm_source=GSAPI&utm_medium=referral,,7,,,,,
Oakland High,247,Oakland High School,public,9-12,1583,3,3,Oakland,CA,14,Oakland Unified School District,0628050,"1023 Macarthur Boulevard, 
Oakland, CA  94610",(510) 874-3676,(510) 879-3049,http://www.ousd.org/oaklandhigh,062805004304,37.80529,-122.23652,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/247-Oakland-High-School/?utm_source=GSAPI&utm_medium=referral,1,3,,2,,3,
Oakland Technical High,248,Oakland Technical High School,public,9-12,2016,8,4,Oakland,CA,14,Oakland Unified School District,0628050,"4351 Broadway, 
Oakland, CA  94611",(510) 450-5400,(510) 879-3059,http://oaklandtech.com/staff/,062805004305,37.831726,-122.25413,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/248-Oakland-Technical-High-School/?utm_source=GSAPI&utm_medium=referral,8,6,,4,,5,
Skyline High,259,Skyline High School,public,9-12,1845,4,4,Oakland,CA,14,Oakland Unified School District,0628050,"12250 Skyline Boulevard, 
Oakland, CA  94619",(510) 482-7109,(510) 482-7296,http://ousdhs.ousd.k12.ca.us/skyline/site/default.asp,062805004315,37.797497,-122.1636,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/259-Skyline-High-School/?utm_source=GSAPI&utm_medium=referral,4,5,,4,,5,
Piedmont High,275,Piedmont High School,public,9-12,800,10,4,Piedmont,CA,15,Piedmont City Unified School District,0630330,"800 Magnolia Avenue, 
Piedmont, CA  94611",(510) 594-2626,,,063033004731,37.823673,-122.2329,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/piedmont/275-Piedmont-High-School/?utm_source=GSAPI&utm_medium=referral,10,10,,,,,
San Leandro High,300,San Leandro High School,public,9-12,2597,4,3,San Leandro,CA,17,San Leandro Unified School District,0634680,"2200 Bancroft Avenue, 
San Leandro, CA  94577",(510) 618-4600,(510) 614-0986,http://www.slhs.net,063468005842,37.71713,-122.14256,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-leandro/300-San-Leandro-High-School/?utm_source=GSAPI&utm_medium=referral,4,4,,3,,4,
KIPP King Collegiate High,17514,KIPP King Collegiate High School,charter,9-12,559,9,4,San Lorenzo,CA,18,San Lorenzo Unified School District,0634710,"2005b Via Barrett, 
San Lorenzo, CA  94580",(510) 317-2330,(510) 317-2333,www.kippbayarea.org,063471011893,37.67432,-122.15009,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-lorenzo/17514-KIPP-King-Collegiate-High-School/?utm_source=GSAPI&utm_medium=referral,7,10,,10,,10,
Arroyo High,1728,Arroyo High School,public,9-12,2228,7,4,El Monte,CA,273,El Monte Union High School District,0612120,"4921 North Cedar Avenue, 
El Monte, CA  91732",(626) 444-9201,(626) 443-1175,www.emuhsd.org/ahs,061212001363,34.09368,-118.02059,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/el-monte/1728-Arroyo-High-School/?utm_source=GSAPI&utm_medium=referral,7,6,,4,,6,
San Lorenzo High,316,San Lorenzo High School,public,9-12,1386,3,4,San Lorenzo,CA,18,San Lorenzo Unified School District,0634710,"50 East Lewelling Boulevard, 
San Lorenzo, CA  94580",(510) 317-3000,(510) 278-0547,http://slzhs.schoolloop.com/,063471005859,37.686687,-122.12256,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-lorenzo/316-San-Lorenzo-High-School/?utm_source=GSAPI&utm_medium=referral,2,3,,3,,3,
