,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students,zip_code_GS,schoolname4merge
Mission San Jose High,94.0,Mission San Jose High School,public,9-12,2069.0,10.0,4.0,Fremont,CA,8.0,Fremont Unified School District,614400.0,"41717 Palm Avenue, 
Fremont, CA  94539",(510) 657-3600,(510) 657-2302,http://www.msjhs.org/home.html,61440001678.0,37.54504,-121.93193,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,,,10.0,,27.0,519.0,86.0,100.0,98429.0,10.0,10.0,10.0,94.0,474.0,86.0,28.0,94.0,476.0,82.0,28.0,92.0,61.0,95.0,68.0,4.0,94539.0,Mission San Jose High
Washington High,974.0,Washington High School,public,9-12,1032.0,3.0,4.0,Fresno,CA,1212.0,Washington Unified School District,601415.0,"6041 South Elm Avenue, 
Fresno, CA  93706",(559) 485-8805,(559) 485-4435,www.wuhs.washingtonunified.org,60141506864.0,36.648148,-119.79091,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fresno/974-Washington-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,4.0,,4.0,,4.0,,18.0,262.0,89.0,100.0,83337.0,4.0,4.0,7.0,57.0,240.0,55.0,218.0,13.0,240.0,13.0,218.0,26.0,26.0,97.0,97.0,85.0,93706.0,Washington High
Leadership Public Schools - Hayward,24625.0,Leadership Public Schools - Hayward,charter,9-12,533.0,9.0,5.0,Hayward,CA,9.0,Hayward Unified School District,616740.0,"28000 Calaroga Avenue, 
Hayward, CA  94545",(510) 300-1340,(510) 372-0396,www.leadps.org/hayward.html,61674010737.0,37.62419000000001,-122.0879,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/24625-Leadership-Public-Schools---Hayward/?utm_source=GSAPI&utm_medium=referral,8.0,9.0,,10.0,,9.0,,22.0,188.0,75.0,96.0,62587.0,9.0,9.0,10.0,78.0,140.0,75.0,101.0,49.0,141.0,44.0,102.0,95.0,94.0,99.0,100.0,60.0,94545.0,Leadership Public Schools - Hayward
Silver Oak High Public Montessori Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver Oak High Public Montessori Charter
Hayward High,121.0,Hayward High School,public,9-12,1580.0,4.0,3.0,Hayward,CA,9.0,Hayward Unified School District,616740.0,"1633 East Avenue, 
Hayward, CA  94541",(510) 723-3170,(510) 581-3145,http://www.haywardhigh.net/,61674002116.0,37.672676,-122.06992,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/121-Hayward-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,4.0,,4.0,,20.0,257.0,90.0,99.0,81614.0,5.0,4.0,6.0,52.0,349.0,48.0,228.0,23.0,345.0,20.0,224.0,45.0,42.0,86.0,84.0,75.0,94541.0,Hayward High
Mt. Eden High,127.0,Mount Eden High School,public,9-12,2009.0,6.0,3.0,Hayward,CA,9.0,Hayward Unified School District,616740.0,"2300 Panama Street, 
Hayward, CA  94545",(510) 723-3180,(510) 786-2269,,61674002124.0,37.625313,-122.09056,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/127-Mount-Eden-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,7.0,,4.0,,6.0,,23.0,319.0,94.0,100.0,84223.0,7.0,6.0,8.0,58.0,437.0,53.0,253.0,34.0,406.0,29.0,238.0,50.0,46.0,92.0,91.0,69.0,94545.0,Mt. Eden High
Tennyson High,137.0,Tennyson High School,public,9-12,1294.0,2.0,3.0,Hayward,CA,9.0,Hayward Unified School District,616740.0,"27035 Whitman Road, 
Hayward, CA  94544",(510) 723-3190,(510) 582-0964,,61674002135.0,37.642548,-122.06596,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayward/137-Tennyson-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,2.0,,2.0,,2.0,,19.0,213.0,87.0,100.0,83453.0,2.0,2.0,2.0,31.0,318.0,28.0,224.0,11.0,340.0,12.0,239.0,40.0,40.0,75.0,76.0,83.0,94544.0,Tennyson High
Granada High,148.0,Granada High School,public,9-12,2059.0,8.0,4.0,Livermore,CA,10.0,Livermore Valley Joint Unified School District,622110.0,"400 Wall Street, 
Livermore, CA  94550",(925) 606-4800,(925) 606-4808,www.granadahs.schoolloop.com/,62211002626.0,37.675205,-121.78983999999998,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/livermore/148-Granada-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,8.0,,4.0,,4.0,,23.0,606.0,87.0,99.0,74463.0,8.0,4.0,9.0,67.0,528.0,42.0,98.0,52.0,527.0,18.0,98.0,49.0,29.0,99.0,95.0,15.0,94550.0,Granada High
Livermore High,151.0,Livermore High School,public,9-12,1794.0,8.0,4.0,Livermore,CA,10.0,Livermore Valley Joint Unified School District,622110.0,"600 Maple Street, 
Livermore, CA  94550",(925) 606-4812,(925) 606-4851,www.livermorehs.schoolloop.com/,62211002630.0,37.68052700000001,-121.76173,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/livermore/151-Livermore-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,4.0,,4.0,,22.0,528.0,89.0,99.0,75724.0,8.0,4.0,9.0,65.0,408.0,42.0,104.0,48.0,413.0,26.0,106.0,55.0,32.0,96.0,94.0,20.0,94550.0,Livermore High
Newark Memorial High,180.0,Newark Memorial High School,public,9-12,1767.0,6.0,3.0,Newark,CA,13.0,Newark Unified School District,627060.0,"39375 Cedar Boulevard, 
Newark, CA  94560",(510) 818-4300,(510) 794-2120,www.newarkunified.org,62706004085.0,37.522095,-122.00175,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/newark/180-Newark-Memorial-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,5.0,,2.0,,3.0,,24.0,444.0,87.0,93.0,105027.0,5.0,3.0,6.0,52.0,402.0,42.0,182.0,22.0,398.0,14.0,180.0,36.0,25.0,91.0,89.0,42.0,94560.0,Newark Memorial High
James Logan High,170.0,James Logan high school,public,9-12,3900.0,7.0,4.0,Union City,CA,12.0,New Haven Unified School District,626910.0,"1800 H Street, 
Union City, CA  94587",(510) 471-2520,(510) 471-0514,http://www.jameslogan.org/,62691004072.0,37.592495,-122.02604,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/union-city/170-James-Logan-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,8.0,,7.0,,7.0,,25.0,353.0,95.0,98.0,69257.0,8.0,7.0,9.0,74.0,810.0,67.0,400.0,41.0,806.0,32.0,398.0,48.0,39.0,91.0,88.0,41.0,94587.0,James Logan High
Oakland Unity High,12385.0,Oakland Unity High School,charter,9-12,337.0,5.0,4.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"6038 Brann Street, 
Oakland, CA  94605",(510) 635-7170,(510) 635-3830,www.unityhigh.org,62805011351.0,37.773705,-122.18548,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/12385-Oakland-Unity-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,7.0,,7.0,,7.0,,22.0,285.0,77.0,84.0,51848.0,7.0,7.0,7.0,63.0,80.0,61.0,72.0,,,,,96.0,96.0,89.0,90.0,77.0,94605.0,Oakland Unity High
MetWest High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MetWest High
Lighthouse Community Charter High,14112.0,Lighthouse Community Charter High School,charter,9-12,214.0,6.0,4.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"444 Hegenberger Road, 
Oakland, CA  94621",(510) 562-8225,(510) 562-8803,www.lighthousecharter.org,62805010726.0,37.73705,-122.19663,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/14112-Lighthouse-Community-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,7.0,,7.0,,21.0,,64.0,90.0,51656.0,7.0,7.0,7.0,60.0,65.0,63.0,56.0,,,,,100.0,100.0,75.0,77.0,80.0,94621.0,Lighthouse Community Charter High
McClymonds High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McClymonds High
American Indian Public High,16974.0,American Indian Public High School,charter,9-12,229.0,7.0,3.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"746 Grand Ave., 
Oakland, CA  94607",(510) 893-8701,(510) 482-6002,www.aimschools.org,62805011563.0,37.811176,-122.251045,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/16974-American-Indian-Public-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,7.0,,4.0,,7.0,,13.0,,0.0,72.0,30963.0,7.0,7.0,6.0,54.0,65.0,55.0,31.0,43.0,65.0,45.0,31.0,96.0,96.0,77.0,84.0,85.0,94607.0,American Indian Public High
Oakland Charter High,17494.0,Oakland Charter High School,charter,9-12,475.0,9.0,3.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"2433 Coolidge Avenue, 
Oakland, CA  94601",(510) 436-0101,(510) 893-8705,http://amps-ca.schoolloop.com/,62805012041.0,37.785854,-122.21961,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/17494-Oakland-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,10.0,,10.0,,10.0,,22.0,265.0,0.0,100.0,36643.0,10.0,10.0,10.0,83.0,109.0,84.0,98.0,60.0,109.0,57.0,98.0,90.0,89.0,89.0,88.0,83.0,94601.0,Oakland Charter High
ARISE High,17573.0,Arise High School,charter,9-12,263.0,4.0,3.0,Oakland,CA,14.0,Oakland Unified School District,628050.0,"3301 East 12th Street, Suite 205, 
Oakland, CA  94601",(510) 436-5487,(510) 436-5493,www.arisehighschool.org,62805012040.0,37.77616,-122.22506,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/17573-Arise-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,6.0,,5.0,,5.0,,17.0,246.0,51.0,92.0,41711.0,6.0,5.0,6.0,66.0,65.0,65.0,60.0,17.0,64.0,15.0,59.0,100.0,100.0,86.0,88.0,94.0,94601.0,ARISE High
Civicorps Corpsmember Academy,17431.0,Civicorps Corpsmember Academy,charter,9-12,80.0,,,Oakland,CA,14.0,Oakland Unified School District,628050.0,"101 Myrtle Street, 
Oakland, CA  94607",(510) 992-7800,(510) 992-7950,www.cvcorps.org,62805012056.0,37.79877000000001,-122.28552,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/17431-Civicorps-Corpsmember-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,,14.0,71.0,0.0,100.0,44000.0,5.0,5.0,5.0,,,,,,,,,,,5.0,5.0,,94607.0,Civicorps Corpsmember Academy
Castlemont High,25806.0,Castlemont High,public,9-12,564.0,1.0,,Oakland,CA,14.0,Oakland Unified School District,628050.0,"8601 Macarthur Boulevard, 
Oakland, CA  94605",(510) 639-1466,,,62805012992.0,37.759537,-122.16291,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/25806-Castlemont-High/?utm_source=GSAPI&utm_medium=referral,1.0,1.0,,1.0,,1.0,,13.0,278.0,58.0,84.0,40306.0,1.0,1.0,1.0,2.0,90.0,2.0,87.0,,,,,36.0,37.0,65.0,65.0,81.0,94605.0,Castlemont High
